,Date,date_dt,location,count,month_day,year,month,location_name
243,2013-09-01 00:00:00,2013-09-01,1^ALEX,2078.0,09-01,2013,9,Alexandra Bridge
244,2013-09-02 00:00:00,2013-09-02,1^ALEX,1103.0,09-02,2013,9,Alexandra Bridge
245,2013-09-03 00:00:00,2013-09-03,1^ALEX,1499.0,09-03,2013,9,Alexandra Bridge
246,2013-09-04 00:00:00,2013-09-04,1^ALEX,1987.0,09-04,2013,9,Alexandra Bridge
247,2013-09-05 00:00:00,2013-09-05,1^ALEX,1994.0,09-05,2013,9,Alexandra Bridge
248,2013-09-06 00:00:00,2013-09-06,1^ALEX,1937.0,09-06,2013,9,Alexandra Bridge
249,2013-09-07 00:00:00,2013-09-07,1^ALEX,776.0,09-07,2013,9,Alexandra Bridge
250,2013-09-08 00:00:00,2013-09-08,1^ALEX,1463.0,09-08,2013,9,Alexandra Bridge
251,2013-09-09 00:00:00,2013-09-09,1^ALEX,2017.0,09-09,2013,9,Alexandra Bridge
252,2013-09-10 00:00:00,2013-09-10,1^ALEX,1043.0,09-10,2013,9,Alexandra Bridge
253,2013-09-11 00:00:00,2013-09-11,1^ALEX,1829.0,09-11,2013,9,Alexandra Bridge
254,2013-09-12 00:00:00,2013-09-12,1^ALEX,1335.0,09-12,2013,9,Alexandra Bridge
255,2013-09-13 00:00:00,2013-09-13,1^ALEX,1495.0,09-13,2013,9,Alexandra Bridge
256,2013-09-14 00:00:00,2013-09-14,1^ALEX,1192.0,09-14,2013,9,Alexandra Bridge
257,2013-09-15 00:00:00,2013-09-15,1^ALEX,1048.0,09-15,2013,9,Alexandra Bridge
258,2013-09-16 00:00:00,2013-09-16,1^ALEX,1649.0,09-16,2013,9,Alexandra Bridge
259,2013-09-17 00:00:00,2013-09-17,1^ALEX,2051.0,09-17,2013,9,Alexandra Bridge
260,2013-09-18 00:00:00,2013-09-18,1^ALEX,2243.0,09-18,2013,9,Alexandra Bridge
261,2013-09-19 00:00:00,2013-09-19,1^ALEX,2255.0,09-19,2013,9,Alexandra Bridge
262,2013-09-20 00:00:00,2013-09-20,1^ALEX,2049.0,09-20,2013,9,Alexandra Bridge
263,2013-09-21 00:00:00,2013-09-21,1^ALEX,317.0,09-21,2013,9,Alexandra Bridge
